LABEL                          USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
u:r:zygote:s0                  root          1919   126 1779012  36008 0                   0 S usap32
u:r:zygote:s0                  root          1922   126 1779012  36020 0                   0 S usap32
u:r:zygote:s0                  root          1923   126 1779012  36016 0                   0 S usap32
u:r:zygote:s0                  root          1924   126 1779012  36028 0                   0 S usap32
u:r:zygote:s0                  root          1927   126 1779012  36028 0                   0 S usap32
u:r:zygote:s0                  root          1929   126 1779012  36040 0                   0 S usap32
u:r:zygote:s0                  root          1931   126 1779012  36036 0                   0 S usap32
u:r:zygote:s0                  root          1932   126 1779012  36036 0                   0 S usap32
u:r:platform_app:s0:c512,c768  u0_a80        1940   125 8432088 287124 0                   0 S com.android.systemui
u:r:webview_zygote:s0          webview_zygote 2008  126 1785716  51052 0                   0 S webview_zygote
u:r:untrusted_app:s0:c135,c256,c512,c768 u0_a135 2018 125 7370644 805332 0                 0 S com.byd.dogwallpaper
u:r:network_stack:s0           network_stack 2041   125 6576064 137368 0                   0 S com.android.networkstack.process
u:r:vendor_qtelephony:s0:c102,c256,c512,c768 u0_a102 2069 125 6265880 99924 0              0 S com.qualcomm.uimremoteclient
u:r:vendor_dataservice_app:s0  radio         2095   125 6444800 105588 0                   0 S .dataservices
u:r:vendor_qtidataservices_app:s0:c60,c256,c512,c768 u0_a60 2119 125 6647316 140216 0      0 S .qtidataservices
u:r:vendor_qtelephony:s0:c73,c256,c512,c768 u0_a73 2148 125 6323456 107224 0               0 S com.qti.phone
u:r:untrusted_app:s0:c105,c256,c512,c768 u0_a105 2174 125 6462120 126272 0                 0 S com.byd.condi
u:r:system_app:s0              system        2183   125 6305584 174708 0                   0 S com.byd.vehicleconfig
u:r:system_app:s0              system        2216   125 6372704 102244 0                   0 S com.byd.containerservice
u:r:radio:s0                   radio         2237   125 6292460  98364 0                   0 S com.xinsheng.videntityserver
u:r:vendor_qtelephony:s0:c78,c256,c512,c768 u0_a78 2266 125 6466324 118876 0               0 S org.codeaurora.ims
u:r:system_app:s0              system        2279   125 6474264 173952 0                   0 S com.byd.dishare
u:r:platform_app:s0:c512,c768  u0_a36        2316   125 6329920 104368 0                   0 S com.byd.bydbootguide
u:r:system_app:s0              system        2337   125 6404540 104180 0                   0 S com.ts.car.someip.service
u:r:system_app:s0              system        2372   125 6665896 144080 0                   0 S com.byd.customserver
u:r:system_app:s0              system        2401   125 6317372 103396 0                   0 S com.byd.someipsystemservice
u:r:system_app:s0              system        2431   125 6786296 156940 0                   0 S com.byd.resmgr
u:r:system_app:s0              system        2463   125 6246172  98224 0                   0 S com.byd.authservice
u:r:system_app:s0              system        2494   125 6647348 142048 0                   0 S com.byd.car.server
u:r:radio:s0                   radio         2524   125 7644248 181024 0                   0 S com.android.phone
u:r:system_app:s0              system        2549   125 6451408 150672 0                   0 S com.byd.appserver
u:r:system_app:s0              system        2594   125 6578204 165276 0                   0 S com.byd.gesture.global
u:r:system_app:s0              system        2620   125 6328776 109308 0                   0 S com.example.amapservice
u:r:adbd:s0                    shell         3065     1 2435344   7204 0                   0 S adbd
u:r:vendor_msm_irqbalanced:s0  root          3140     1 2194620   3768 0                   0 S msm_irqbalance
u:r:vendor_qspmsvc:s0          system        3157     1 2175132   4152 0                   0 S qspmsvc
u:r:hal_thermal_default:s0     root          3167     1 2227388   3988 0                   0 S android.hardware.thermal@2.0-service.qti
u:r:vendor_thermal-engine:s0   root          3179     1 2888408   5036 0                   0 S thermal-engine
u:r:mediaprovider_app:s0:c89,c256,c512,c768 u0_a89 3251 125 6916808 176672 0               0 S com.android.providers.media.module
u:r:system_app:s0              system        3338   125 6556360 198240 0                   0 S com.byd.networktethering
u:r:system_app:s0              system        3377   125 6335840 114820 0                   0 S com.byd.crosscontrol
u:r:system_app:s0              system        3412   125 6542420 160036 0                   0 S com.byd.updated
u:r:system_app:s0              system        3419   125 6388032 123200 0                   0 S com.byd.wlan
u:r:platform_app:s0:c512,c768  u0_a111       3451   125 6286120 108320 0                   0 S com.byd.yunnian.service
u:r:system_app:s0              system        3480   125 6333916 119492 0                   0 S com.android.voicereminder
u:r:system_app:s0              system        3507   125 7553400 144248 0                   0 S com.byd.mycar
u:r:system_app:s0              system        3533   125 6369964 117400 0                   0 S com.byd.xcall
u:r:system_app:s0              system        3551   125 6566956 120932 0                   0 S com.byd.gpsinfo
u:r:system_app:s0              system        3589   125 6312300 101528 0                   0 S com.byd.spotinspection
u:r:system_app:s0              system        3607   125 6375412 111488 0                   0 S com.byd.sdcardservice
u:r:system_app:s0              system        3629   125 6719432 131972 0                   0 S com.byd.CanDataCollect
u:r:system_app:s0              system        3668   125 6324216 105844 0                   0 S com.byd.vehicledialog
u:r:system_app:s0              system        3684   125 7254840 124724 0                   0 S com.byd.sentrymode
u:r:system_app:s0              system        3706   125 6299640 102368 0                   0 S com.byd.upgradeserver
u:r:system_app:s0              system        3734   125 6357412 123140 0                   0 S com.byd.amapservice
u:r:system_app:s0              system        3768   125 6382932 114416 0                   0 S com.byd.widget.mediacenter
u:r:system_app:s0              system        3796   125 6362504 204256 0                   0 S com.byd.musicwidget
u:r:system_app:s0              system        3809   125 6351292 104248 0                   0 S com.byd.cameramanager
u:r:system_app:s0              system        3846   125 6287472 103544 0                   0 S com.byd.cpdwarn
u:r:system_app:s0              system        3873   125 6263812 100776 0                   0 S com.byd.newotgupdate
